 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2010- 7-19  0: 0: 0,    33.393,     2.207,     2.721,     2.715,   260.027,     0.992,     2.063,    48.361,     2.220,    25.550,  3213.530,  3160.000
2010- 7-20  0: 0: 0,     1.631,     2.271,     2.800,     2.701,   257.594,     0.983,     1.978,    42.639,     0.094,     1.204,  3880.772,  3810.000
2010- 7-21  0: 0: 0,    20.732,     2.466,     3.040,     2.809,   258.909,     0.988,     2.067,    43.622,     1.309,    15.100,  3992.256,  4260.000
2010- 7-22  0: 0: 0,    14.117,     1.356,     1.672,     1.641,   259.365,     0.990,     2.091,    41.856,     0.919,    11.081,  3684.980,  4030.000
2010- 7-23  0: 0: 0,     0.142,     1.707,     2.105,     2.025,   257.397,     0.982,     1.978,    33.995,     0.001,     0.019,  3315.636,  3580.000
2010- 7-24  0: 0: 0,     0.905,     2.802,     3.454,     2.737,   254.869,     0.972,     1.867,    26.612,     0.005,     0.023,  2849.937,  3490.000
2010- 7-25  0: 0: 0,    32.871,     3.196,     3.940,     3.940,   261.585,     0.998,     2.061,    31.842,     2.094,    20.122,  2519.013,  3240.000
2010- 7-26  0: 0: 0,    69.863,     3.683,     4.541,     4.541,   262.110,     1.000,     2.632,    60.890,     4.727,    60.070,  2763.239,  2480.000
2010- 7-27  0: 0: 0,    33.041,     3.774,     4.652,     4.449,   261.810,     0.999,     2.798,    70.362,     2.076,    26.612,  3495.683,  1870.000
2010- 7-28  0: 0: 0,    20.958,     3.745,     4.618,     3.985,   261.221,     0.997,     2.833,    71.524,     1.245,    15.684,  4109.063,  1430.000
