 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2009-11-18  0: 0: 0,     0.226,     0.419,     0.517,     0.363,   201.314,     0.768,     0.375,     1.185,     0.005,     0.007,    35.066,    72.900
2009-11-19  0: 0: 0,     0.215,     0.751,     0.926,     0.629,   200.768,     0.766,     0.363,     1.095,     0.002,     0.003,    31.587,    86.200
2009-11-20  0: 0: 0,     0.000,     0.787,     0.970,     0.742,   200.026,     0.763,     0.351,     1.015,     0.000,     0.000,    28.322,    91.500
2009-11-21  0: 0: 0,     0.000,     0.799,     0.984,     0.750,   199.276,     0.760,     0.339,     0.945,     0.000,     0.000,    25.090,    92.700
2009-11-22  0: 0: 0,     0.003,     0.891,     1.098,     0.832,   198.444,     0.757,     0.328,     0.884,     0.000,     0.000,    21.907,    91.400
2009-11-23  0: 0: 0,     0.004,     0.908,     1.120,     0.844,   197.600,     0.754,     0.318,     0.831,     0.000,     0.000,    19.019,    88.900
2009-11-24  0: 0: 0,     0.000,     0.964,     1.188,     0.894,   196.706,     0.750,     0.308,     0.785,     0.000,     0.000,    16.558,    85.400
2009-11-25  0: 0: 0,     0.000,     0.867,     1.068,     0.801,   195.905,     0.747,     0.299,     0.744,     0.000,     0.000,    14.531,    80.900
2009-11-26  0: 0: 0,     0.280,     0.889,     1.096,     0.747,   195.303,     0.745,     0.291,     0.711,     0.004,     0.006,    12.902,    78.000
2009-11-27  0: 0: 0,     5.382,     0.689,     0.849,     0.811,   199.022,     0.759,     0.331,     0.958,     0.331,     0.492,    19.619,    79.000
2009-11-28  0: 0: 0,     2.342,     0.396,     0.488,     0.442,   200.546,     0.765,     0.342,     1.023,     0.141,     0.213,    27.689,    86.900
2009-11-29  0: 0: 0,     0.464,     0.513,     0.633,     0.466,   200.434,     0.765,     0.335,     0.973,     0.022,     0.037,    32.568,   104.000
2009-11-30  0: 0: 0,     0.021,     0.713,     0.879,     0.655,   199.778,     0.762,     0.325,     0.896,     0.000,     0.000,    38.194,   127.000
2009-12- 1  0: 0: 0,     0.262,     0.795,     0.980,     0.707,   199.234,     0.760,     0.316,     0.815,     0.005,     0.007,    38.174,   158.000
2009-12- 2  0: 0: 0,     0.009,     0.589,     0.726,     0.543,   198.691,     0.758,     0.306,     0.733,     0.000,     0.000,    34.739,   167.000
2009-12- 3  0: 0: 0,     0.001,     0.752,     0.927,     0.701,   197.990,     0.755,     0.297,     0.660,     0.000,     0.000,    29.743,   156.000
2009-12- 4  0: 0: 0,     0.052,     0.632,     0.779,     0.588,   197.443,     0.753,     0.289,     0.601,     0.002,     0.003,    24.615,   141.000
2009-12- 5  0: 0: 0,     0.043,     0.726,     0.895,     0.666,   196.803,     0.751,     0.281,     0.551,     0.001,     0.001,    20.131,   127.000
2009-12- 6  0: 0: 0,     0.025,     0.595,     0.733,     0.533,   196.271,     0.749,     0.273,     0.511,     0.000,     0.000,    16.550,   114.000
2009-12- 7  0: 0: 0,     0.209,     0.393,     0.485,     0.326,   196.070,     0.748,     0.266,     0.482,     0.003,     0.005,    13.832,   104.000
2009-12- 8  0: 0: 0,     0.209,     0.282,     0.348,     0.254,   195.973,     0.748,     0.259,     0.461,     0.007,     0.011,    12.222,    96.200
2009-12- 9  0: 0: 0,     1.273,     0.742,     0.915,     0.714,   196.310,     0.749,     0.262,     0.493,     0.066,     0.099,    13.705,    91.000
2009-12-10  0: 0: 0,     0.018,     0.744,     0.918,     0.672,   195.638,     0.746,     0.255,     0.465,     0.000,     0.000,    14.544,    90.800
2009-12-11  0: 0: 0,     0.268,     0.319,     0.393,     0.280,   195.555,     0.746,     0.250,     0.447,     0.008,     0.014,    16.270,    91.900
2009-12-12  0: 0: 0,     1.136,     0.435,     0.537,     0.418,   196.058,     0.748,     0.252,     0.472,     0.060,     0.096,    19.078,    93.100
2009-12-13  0: 0: 0,     0.691,     0.337,     0.416,     0.321,   196.298,     0.749,     0.250,     0.467,     0.035,     0.057,    16.795,    95.700
2009-12-14  0: 0: 0,     2.829,     0.679,     0.837,     0.728,   197.926,     0.755,     0.266,     0.578,     0.156,     0.251,    19.298,   102.000
2009-12-15  0: 0: 0,     0.624,     0.300,     0.369,     0.291,   198.141,     0.756,     0.264,     0.562,     0.029,     0.050,    20.305,   115.000
2009-12-16  0: 0: 0,     0.146,     0.396,     0.489,     0.372,   197.890,     0.755,     0.257,     0.526,     0.007,     0.011,    24.638,   145.000
2009-12-17  0: 0: 0,     0.049,     0.588,     0.725,     0.519,   197.381,     0.753,     0.251,     0.480,     0.000,     0.000,    26.441,   199.000
2009-12-18  0: 0: 0,     0.002,     0.543,     0.669,     0.502,   196.878,     0.751,     0.244,     0.432,     0.000,     0.000,    25.010,   243.000
2009-12-19  0: 0: 0,     0.055,     0.600,     0.740,     0.534,   196.367,     0.749,     0.237,     0.389,     0.001,     0.001,    22.004,   248.000
2009-12-20  0: 0: 0,     0.028,     0.524,     0.646,     0.471,   195.905,     0.747,     0.231,     0.351,     0.000,     0.000,    18.583,   233.000
2009-12-21  0: 0: 0,     0.008,     0.671,     0.827,     0.611,   195.294,     0.745,     0.225,     0.320,     0.000,     0.000,    15.361,   208.000
2009-12-22  0: 0: 0,     0.001,     0.766,     0.944,     0.703,   194.590,     0.742,     0.219,     0.295,     0.000,     0.000,    12.690,   185.000
2009-12-23  0: 0: 0,     0.002,     0.610,     0.751,     0.556,   194.035,     0.740,     0.214,     0.275,     0.000,     0.000,    10.620,   169.000
2009-12-24  0: 0: 0,     0.000,     0.520,     0.641,     0.475,   193.560,     0.738,     0.208,     0.259,     0.000,     0.000,     9.064,   156.000
2009-12-25  0: 0: 0,     0.032,     0.642,     0.792,     0.582,   192.999,     0.736,     0.203,     0.247,     0.001,     0.001,     7.896,   144.000
2009-12-26  0: 0: 0,     0.118,     0.489,     0.603,     0.366,   192.642,     0.735,     0.199,     0.235,     0.000,     0.000,     7.002,   134.000
2009-12-27  0: 0: 0,     0.175,     0.595,     0.734,     0.542,   192.243,     0.733,     0.195,     0.232,     0.009,     0.012,     6.314,   124.000
2009-12-28  0: 0: 0,     0.002,     0.699,     0.862,     0.630,   191.613,     0.731,     0.191,     0.223,     0.000,     0.000,     6.442,   115.000
2009-12-29  0: 0: 0,     0.011,     0.594,     0.733,     0.531,   191.087,     0.729,     0.186,     0.213,     0.000,     0.000,     5.875,   107.000
2009-12-30  0: 0: 0,     0.001,     0.661,     0.814,     0.593,   190.494,     0.727,     0.182,     0.203,     0.000,     0.000,     5.231,    99.400
2009-12-31  0: 0: 0,     0.005,     0.743,     0.917,     0.662,   189.832,     0.724,     0.178,     0.194,     0.000,     0.000,     4.665,    91.800
2010- 1- 1  0: 0: 0,     0.000,     0.748,     0.922,     0.668,   189.164,     0.722,     0.175,     0.186,     0.000,     0.000,     4.193,    84.500
2010- 1- 2  0: 0: 0,     0.000,     0.715,     0.882,     0.637,   188.527,     0.719,     0.171,     0.178,     0.000,     0.000,     3.797,    75.400
2010- 1- 3  0: 0: 0,     0.000,     0.767,     0.946,     0.680,   187.847,     0.717,     0.168,     0.171,     0.000,     0.000,     3.458,    71.400
2010- 1- 4  0: 0: 0,     0.000,     0.628,     0.774,     0.555,   187.292,     0.715,     0.164,     0.165,     0.000,     0.000,     3.160,    72.700
2010- 1- 5  0: 0: 0,     0.001,     0.520,     0.641,     0.458,   186.834,     0.713,     0.161,     0.158,     0.000,     0.000,     2.895,    73.400
2010- 1- 6  0: 0: 0,     0.001,     0.652,     0.803,     0.572,   186.262,     0.711,     0.158,     0.152,     0.000,     0.000,     2.656,    69.700
2010- 1- 7  0: 0: 0,     0.003,     0.505,     0.623,     0.441,   185.820,     0.709,     0.155,     0.146,     0.000,     0.000,     2.439,    61.600
2010- 1- 8  0: 0: 0,     0.000,     0.730,     0.900,     0.638,   185.183,     0.707,     0.153,     0.141,     0.000,     0.000,     2.241,    61.000
2010- 1- 9  0: 0: 0,     0.008,     0.585,     0.722,     0.506,   184.676,     0.705,     0.150,     0.135,     0.000,     0.000,     2.061,    66.800
2010- 1-10  0: 0: 0,     0.062,     0.245,     0.302,     0.201,   184.507,     0.704,     0.147,     0.131,     0.001,     0.001,     1.923,    71.800
2010- 1-11  0: 0: 0,     0.427,     0.629,     0.775,     0.415,   184.277,     0.703,     0.146,     0.130,     0.005,     0.007,     2.069,    71.800
2010- 1-12  0: 0: 0,     0.017,     0.719,     0.887,     0.611,   183.666,     0.701,     0.143,     0.125,     0.000,     0.000,     2.421,    70.600
2010- 1-13  0: 0: 0,     0.001,     0.689,     0.850,     0.594,   183.072,     0.698,     0.141,     0.119,     0.000,     0.000,     2.215,    69.200
2010- 1-14  0: 0: 0,     0.000,     0.895,     1.103,     0.770,   182.301,     0.696,     0.138,     0.113,     0.000,     0.000,     1.920,    67.900
2010- 1-15  0: 0: 0,     0.019,     0.261,     0.322,     0.219,   182.091,     0.695,     0.136,     0.108,     0.000,     0.000,     1.661,    68.000
2010- 1-16  0: 0: 0,     0.000,     0.823,     1.015,     0.705,   181.386,     0.692,     0.133,     0.104,     0.000,     0.000,     1.458,    68.400
2010- 1-17  0: 0: 0,     0.000,     0.891,     1.099,     0.760,   180.627,     0.689,     0.131,     0.099,     0.000,     0.000,     1.305,    68.500
2010- 1-18  0: 0: 0,     0.017,     0.997,     1.229,     0.836,   179.791,     0.686,     0.129,     0.095,     0.000,     0.000,     1.177,    68.800
2010- 1-19  0: 0: 0,     0.000,     0.775,     0.956,     0.658,   179.133,     0.683,     0.127,     0.091,     0.000,     0.000,     1.069,    68.700
2010- 1-20  0: 0: 0,     0.037,     0.552,     0.681,     0.461,   178.696,     0.682,     0.125,     0.088,     0.001,     0.001,     0.994,    65.800
2010- 1-21  0: 0: 0,     0.098,     0.570,     0.703,     0.451,   178.286,     0.680,     0.123,     0.085,     0.001,     0.001,     0.979,    62.300
2010- 1-22  0: 0: 0,     0.005,     0.640,     0.789,     0.534,   177.754,     0.678,     0.121,     0.081,     0.000,     0.000,     0.959,    60.600
2010- 1-23  0: 0: 0,     0.004,     0.740,     0.913,     0.617,   177.137,     0.676,     0.119,     0.078,     0.000,     0.000,     0.886,    61.800
2010- 1-24  0: 0: 0,     0.008,     0.764,     0.942,     0.629,   176.508,     0.673,     0.117,     0.075,     0.000,     0.000,     0.806,    65.300
2010- 1-25  0: 0: 0,     0.000,     0.852,     1.051,     0.708,   175.800,     0.671,     0.115,     0.071,     0.000,     0.000,     0.735,    70.100
2010- 1-26  0: 0: 0,     0.160,     0.917,     1.131,     0.755,   175.162,     0.668,     0.114,     0.071,     0.004,     0.004,     0.767,    71.400
2010- 1-27  0: 0: 0,     0.007,     0.926,     1.141,     0.758,   174.404,     0.665,     0.112,     0.068,     0.000,     0.000,     0.961,    67.100
2010- 1-28  0: 0: 0,     0.002,     0.953,     1.174,     0.781,   173.623,     0.662,     0.110,     0.065,     0.000,     0.000,     0.937,    56.500
2010- 1-29  0: 0: 0,     0.065,     1.074,     1.324,     0.834,   172.790,     0.659,     0.108,     0.062,     0.000,     0.000,     0.834,    43.400
2010- 1-30  0: 0: 0,     1.152,     0.976,     1.203,     0.873,   172.886,     0.660,     0.113,     0.090,     0.048,     0.055,     2.897,    36.200
2010- 1-31  0: 0: 0,     2.093,     0.982,     1.211,     0.921,   173.667,     0.663,     0.123,     0.139,     0.080,     0.094,     7.264,    41.100
2010- 2- 1  0: 0: 0,     0.010,     0.777,     0.958,     0.627,   173.040,     0.660,     0.120,     0.124,     0.000,     0.000,    11.114,    48.200
2010- 2- 2  0: 0: 0,     0.007,     0.548,     0.675,     0.441,   172.600,     0.659,     0.116,     0.102,     0.000,     0.000,    10.120,    48.200
2010- 2- 3  0: 0: 0,     0.029,     0.627,     0.773,     0.495,   172.112,     0.657,     0.113,     0.083,     0.000,     0.000,     7.968,    43.700
2010- 2- 4  0: 0: 0,     0.011,     0.943,     1.163,     0.754,   171.358,     0.654,     0.110,     0.069,     0.000,     0.000,     6.003,    37.600
2010- 2- 5  0: 0: 0,     0.005,     0.799,     0.985,     0.637,   170.720,     0.651,     0.108,     0.059,     0.000,     0.000,     4.547,    33.900
2010- 2- 6  0: 0: 0,     0.161,     0.476,     0.587,     0.306,   170.442,     0.650,     0.105,     0.052,     0.000,     0.000,     3.552,    32.100
2010- 2- 7  0: 0: 0,     0.071,     0.497,     0.613,     0.352,   170.089,     0.649,     0.102,     0.047,     0.000,     0.000,     2.904,    32.700
2010- 2- 8  0: 0: 0,     1.047,     0.448,     0.553,     0.416,   170.543,     0.651,     0.107,     0.076,     0.049,     0.056,     4.807,    35.900
2010- 2- 9  0: 0: 0,     2.902,     0.524,     0.646,     0.559,   172.474,     0.658,     0.129,     0.185,     0.174,     0.204,    12.766,    41.100
2010- 2-10  0: 0: 0,     2.863,     0.702,     0.865,     0.658,   174.208,     0.665,     0.148,     0.278,     0.166,     0.208,    26.566,    47.300
2010- 2-11  0: 0: 0,     0.022,     0.341,     0.421,     0.265,   173.945,     0.664,     0.141,     0.230,     0.000,     0.000,    31.872,    55.100
2010- 2-12  0: 0: 0,     4.355,     0.895,     1.103,     1.040,   176.694,     0.674,     0.170,     0.339,     0.241,     0.286,    34.468,    65.300
2010- 2-13  0: 0: 0,     0.788,     0.959,     1.182,     0.591,   176.449,     0.673,     0.163,     0.280,     0.006,     0.008,    32.068,    76.800
2010- 2-14  0: 0: 0,     0.921,     0.588,     0.725,     0.459,   176.658,     0.674,     0.160,     0.240,     0.033,     0.039,    27.883,    88.800
2010- 2-15  0: 0: 0,     0.453,     0.638,     0.786,     0.498,   176.475,     0.673,     0.154,     0.198,     0.014,     0.021,    23.918,   102.000
2010- 2-16  0: 0: 0,     0.733,     0.686,     0.845,     0.561,   176.475,     0.673,     0.151,     0.177,     0.031,     0.045,    21.792,   116.000
2010- 2-17  0: 0: 0,     1.421,     0.862,     1.062,     0.818,   176.874,     0.675,     0.153,     0.184,     0.064,     0.086,    21.550,   133.000
2010- 2-18  0: 0: 0,     0.261,     1.096,     1.351,     0.826,   176.146,     0.672,     0.145,     0.146,     0.002,     0.002,    20.398,   137.000
2010- 2-19  0: 0: 0,     0.010,     1.360,     1.676,     1.116,   175.030,     0.668,     0.137,     0.111,     0.000,     0.000,    17.116,   132.000
2010- 2-20  0: 0: 0,     0.000,     1.478,     1.822,     1.212,   173.817,     0.663,     0.130,     0.085,     0.000,     0.000,    13.910,   127.000
2010- 2-21  0: 0: 0,     0.000,     1.542,     1.901,     1.258,   172.559,     0.658,     0.124,     0.067,     0.000,     0.000,    11.238,   126.000
2010- 2-22  0: 0: 0,     0.005,     1.235,     1.522,     0.997,   171.562,     0.655,     0.118,     0.055,     0.000,     0.000,     9.193,   127.000
2010- 2-23  0: 0: 0,     0.001,     1.700,     2.096,     1.366,   170.196,     0.649,     0.112,     0.047,     0.000,     0.000,     7.680,   120.000
2010- 2-24  0: 0: 0,     0.039,     1.024,     1.262,     0.788,   169.409,     0.646,     0.107,     0.042,     0.000,     0.000,     6.558,   112.000
2010- 2-25  0: 0: 0,     0.504,     0.718,     0.885,     0.591,   169.234,     0.646,     0.106,     0.054,     0.024,     0.027,     5.754,   106.000
2010- 2-26  0: 0: 0,     0.075,     0.582,     0.718,     0.420,   168.818,     0.644,     0.101,     0.051,     0.000,     0.000,     5.508,   103.000
2010- 2-27  0: 0: 0,     0.000,     1.388,     1.711,     1.089,   167.728,     0.640,     0.097,     0.049,     0.000,     0.000,     6.401,   101.000
2010- 2-28  0: 0: 0,     3.417,     0.669,     0.825,     0.729,   169.921,     0.648,     0.122,     0.181,     0.194,     0.238,    11.212,    99.300
2010- 3- 1  0: 0: 0,     0.683,     0.902,     1.113,     0.718,   169.738,     0.648,     0.120,     0.175,     0.029,     0.039,    19.101,    97.600
2010- 3- 2  0: 0: 0,     4.140,     0.712,     0.878,     0.716,   172.490,     0.658,     0.150,     0.317,     0.246,     0.316,    32.247,    96.700
2010- 3- 3  0: 0: 0,     5.390,     0.497,     0.613,     0.605,   176.497,     0.673,     0.192,     0.504,     0.346,     0.427,    48.187,   117.000
2010- 3- 4  0: 0: 0,     0.232,     1.147,     1.414,     0.816,   175.727,     0.670,     0.181,     0.420,     0.001,     0.001,    51.434,   149.000
2010- 3- 5  0: 0: 0,     1.945,     0.533,     0.658,     0.486,   176.829,     0.675,     0.186,     0.406,     0.103,     0.133,    49.381,   187.000
2010- 3- 6  0: 0: 0,     0.413,     0.599,     0.739,     0.466,   176.639,     0.674,     0.177,     0.328,     0.012,     0.014,    44.619,   232.000
2010- 3- 7  0: 0: 0,     0.665,     1.272,     1.569,     0.905,   176.088,     0.672,     0.169,     0.263,     0.009,     0.015,    40.487,   279.000
2010- 3- 8  0: 0: 0,     0.054,     0.733,     0.904,     0.562,   175.525,     0.670,     0.159,     0.200,     0.000,     0.000,    34.106,   315.000
2010- 3- 9  0: 0: 0,     0.302,     1.181,     1.457,     0.781,   174.782,     0.667,     0.150,     0.150,     0.000,     0.001,    27.491,   307.000
2010- 3-10  0: 0: 0,     0.017,     1.657,     2.042,     1.341,   173.441,     0.662,     0.141,     0.114,     0.000,     0.000,    22.037,   271.000
2010- 3-11  0: 0: 0,     0.000,     1.938,     2.390,     1.573,   171.868,     0.656,     0.133,     0.090,     0.000,     0.000,    17.920,   235.000
2010- 3-12  0: 0: 0,     0.002,     2.057,     2.536,     1.655,   170.212,     0.649,     0.126,     0.074,     0.000,     0.000,    14.925,   209.000
2010- 3-13  0: 0: 0,     0.368,     1.982,     2.444,     1.458,   168.877,     0.644,     0.119,     0.066,     0.005,     0.005,    12.745,   197.000
2010- 3-14  0: 0: 0,    12.469,     0.633,     0.780,     0.778,   178.686,     0.682,     0.235,     0.649,     0.846,     1.033,    39.221,   200.000
2010- 3-15  0: 0: 0,     0.083,     1.601,     1.974,     1.287,   177.407,     0.677,     0.223,     0.591,     0.000,     0.000,    54.913,   235.000
2010- 3-16  0: 0: 0,     0.004,     2.095,     2.583,     1.734,   175.673,     0.670,     0.211,     0.496,     0.000,     0.000,    58.218,   291.000
2010- 3-17  0: 0: 0,     0.058,     2.038,     2.512,     1.643,   174.032,     0.664,     0.199,     0.392,     0.000,     0.000,    53.060,   313.000
2010- 3-18  0: 0: 0,     0.000,     1.975,     2.435,     1.613,   172.419,     0.658,     0.187,     0.299,     0.000,     0.000,    44.573,   290.000
2010- 3-19  0: 0: 0,     0.018,     2.569,     3.168,     2.067,   170.353,     0.650,     0.176,     0.225,     0.000,     0.000,    36.016,   252.000
2010- 3-20  0: 0: 0,     0.008,     2.088,     2.575,     1.654,   168.699,     0.644,     0.165,     0.171,     0.000,     0.000,    28.810,   206.000
2010- 3-21  0: 0: 0,     0.001,     2.229,     2.747,     1.762,   166.937,     0.637,     0.155,     0.133,     0.000,     0.000,    23.263,   178.000
2010- 3-22  0: 0: 0,     5.717,     0.909,     1.120,     1.092,   170.843,     0.652,     0.195,     0.316,     0.334,     0.364,    27.874,   176.000
2010- 3-23  0: 0: 0,    10.764,     0.759,     0.935,     0.819,   179.022,     0.683,     0.289,     0.849,     0.722,     0.983,    69.091,   182.000
2010- 3-24  0: 0: 0,     0.434,     0.581,     0.717,     0.455,   178.890,     0.682,     0.275,     0.768,     0.019,     0.033,    85.932,   205.000
2010- 3-25  0: 0: 0,     0.009,     1.971,     2.430,     1.641,   177.249,     0.676,     0.259,     0.643,     0.000,     0.000,    90.712,   225.000
2010- 3-26  0: 0: 0,     0.019,     2.331,     2.873,     1.927,   175.321,     0.669,     0.244,     0.506,     0.000,     0.000,    81.531,   235.000
2010- 3-27  0: 0: 0,     0.056,     2.231,     2.751,     1.779,   173.542,     0.662,     0.229,     0.384,     0.000,     0.000,    67.378,   224.000
2010- 3-28  0: 0: 0,     0.000,     2.303,     2.839,     1.872,   171.670,     0.655,     0.214,     0.290,     0.000,     0.000,    53.823,   193.000
2010- 3-29  0: 0: 0,     0.469,     1.250,     1.541,     0.789,   170.951,     0.652,     0.201,     0.223,     0.001,     0.001,    42.900,   167.000
2010- 3-30  0: 0: 0,     1.332,     0.909,     1.121,     0.759,   171.240,     0.653,     0.195,     0.215,     0.048,     0.065,    35.803,   152.000
2010- 3-31  0: 0: 0,    22.498,     2.437,     3.004,     2.989,   187.283,     0.715,     0.388,     1.349,     1.411,     2.043,    89.156,   148.000
2010- 4- 1  0: 0: 0,     0.276,     1.449,     1.787,     1.117,   186.271,     0.711,     0.367,     1.226,     0.003,     0.008,   131.107,   176.000
2010- 4- 2  0: 0: 0,     0.007,     2.026,     2.497,     1.745,   184.525,     0.704,     0.345,     1.038,     0.000,     0.000,   145.322,   259.000
2010- 4- 3  0: 0: 0,     0.000,     2.352,     2.900,     2.027,   182.498,     0.696,     0.324,     0.819,     0.000,     0.000,   133.150,   433.000
2010- 4- 4  0: 0: 0,     0.001,     2.401,     2.961,     2.041,   180.457,     0.688,     0.304,     0.619,     0.000,     0.000,   110.704,   467.000
2010- 4- 5  0: 0: 0,     0.001,     2.719,     3.352,     2.290,   178.167,     0.680,     0.284,     0.462,     0.000,     0.000,    88.156,   395.000
2010- 4- 6  0: 0: 0,     0.004,     1.653,     2.038,     1.323,   176.843,     0.675,     0.266,     0.350,     0.000,     0.000,    69.588,   306.000
2010- 4- 7  0: 0: 0,     0.011,     1.980,     2.441,     1.622,   175.221,     0.669,     0.248,     0.274,     0.000,     0.000,    55.654,   225.000
2010- 4- 8  0: 0: 0,     0.000,     2.423,     2.987,     1.964,   173.257,     0.661,     0.232,     0.225,     0.000,     0.000,    45.624,   154.000
2010- 4- 9  0: 0: 0,     0.029,     2.606,     3.212,     2.089,   171.168,     0.653,     0.216,     0.193,     0.000,     0.000,    38.455,   122.000
2010- 4-10  0: 0: 0,     0.016,     1.449,     1.787,     1.136,   170.032,     0.649,     0.202,     0.173,     0.000,     0.000,    33.235,   112.000
2010- 4-11  0: 0: 0,     2.341,     0.586,     0.722,     0.479,   171.382,     0.654,     0.209,     0.312,     0.143,     0.267,    32.537,   125.000
2010- 4-12  0: 0: 0,     2.025,     0.793,     0.978,     0.707,   172.255,     0.657,     0.209,     0.393,     0.088,     0.159,    48.967,   111.000
2010- 4-13  0: 0: 0,     0.598,     1.400,     1.727,     0.841,   171.554,     0.655,     0.196,     0.360,     0.002,     0.005,    56.665,   129.000
2010- 4-14  0: 0: 0,     4.973,     0.795,     0.980,     0.970,   174.870,     0.667,     0.226,     0.530,     0.289,     0.392,    63.092,   138.000
2010- 4-15  0: 0: 0,     0.001,     1.968,     2.426,     1.604,   173.266,     0.661,     0.213,     0.462,     0.000,     0.000,    64.202,   110.000
2010- 4-16  0: 0: 0,     0.001,     2.677,     3.301,     2.166,   171.100,     0.653,     0.200,     0.386,     0.000,     0.000,    59.338,   103.000
2010- 4-17  0: 0: 0,     0.577,     2.786,     3.435,     1.913,   169.329,     0.646,     0.188,     0.321,     0.004,     0.010,    51.056,   121.000
2010- 4-18  0: 0: 0,    10.712,     1.514,     1.866,     1.571,   176.688,     0.674,     0.274,     0.832,     0.668,     0.998,    88.231,   127.000
2010- 4-19  0: 0: 0,     0.456,     1.496,     1.845,     0.999,   175.769,     0.671,     0.256,     0.700,     0.001,     0.001,    99.288,   139.000
2010- 4-20  0: 0: 0,    31.441,     0.868,     1.071,     1.071,   200.934,     0.767,     0.558,     2.267,     2.198,     3.007,   132.712,   159.000
2010- 4-21  0: 0: 0,    10.269,     0.532,     0.656,     0.654,   207.875,     0.793,     0.632,     3.153,     0.696,     1.977,   223.654,   199.000
2010- 4-22  0: 0: 0,     0.032,     2.482,     3.060,     2.387,   205.487,     0.784,     0.598,     2.699,     0.000,     0.000,   294.821,   440.000
2010- 4-23  0: 0: 0,     0.004,     2.926,     3.607,     2.804,   202.683,     0.773,     0.564,     2.128,     0.000,     0.000,   276.526,   902.000
2010- 4-24  0: 0: 0,     0.049,     2.946,     3.632,     2.750,   199.933,     0.763,     0.531,     1.599,     0.000,     0.000,   226.644,   943.000
2010- 4-25  0: 0: 0,     2.337,     0.928,     1.144,     0.810,   200.875,     0.766,     0.514,     1.322,     0.114,     0.260,   182.745,   740.000
2010- 4-26  0: 0: 0,     0.003,     2.917,     3.597,     2.735,   198.140,     0.756,     0.482,     0.997,     0.000,     0.000,   147.180,   581.000
2010- 4-27  0: 0: 0,     0.080,     3.139,     3.869,     2.836,   195.304,     0.745,     0.451,     0.757,     0.000,     0.000,   117.762,   455.000
2010- 4-28  0: 0: 0,     0.000,     2.909,     3.587,     2.654,   192.650,     0.735,     0.421,     0.585,     0.000,     0.000,    93.451,   355.000
2010- 4-29  0: 0: 0,     0.003,     3.012,     3.713,     2.706,   189.943,     0.725,     0.393,     0.466,     0.000,     0.000,    74.593,   294.000
2010- 4-30  0: 0: 0,     0.000,     3.063,     3.776,     2.710,   187.233,     0.714,     0.367,     0.388,     0.000,     0.000,    60.647,   260.000
2010- 5- 1  0: 0: 0,     0.000,     3.373,     4.158,     2.950,   184.283,     0.703,     0.342,     0.337,     0.000,     0.000,    50.545,   238.000
2010- 5- 2  0: 0: 0,     0.018,     3.545,     4.370,     3.038,   181.245,     0.691,     0.320,     0.304,     0.000,     0.000,    43.190,   211.000
2010- 5- 3  0: 0: 0,     0.781,     3.430,     4.229,     2.700,   178.808,     0.682,     0.299,     0.286,     0.006,     0.004,    37.696,   165.000
2010- 5- 4  0: 0: 0,    44.020,     1.094,     1.348,     1.348,   213.981,     0.816,     0.728,     2.790,     3.088,     4.410,    85.589,   137.000
2010- 5- 5  0: 0: 0,     0.025,     2.679,     3.303,     2.633,   211.349,     0.806,     0.696,     2.664,     0.000,     0.000,   140.041,   143.000
2010- 5- 6  0: 0: 0,     0.092,     0.975,     1.202,     0.933,   210.426,     0.803,     0.662,     2.369,     0.000,     0.000,   163.264,   160.000
2010- 5- 7  0: 0: 0,     0.248,     2.641,     3.257,     2.423,   208.003,     0.794,     0.628,     1.983,     0.000,     0.000,   155.992,   153.000
2010- 5- 8  0: 0: 0,     4.384,     0.581,     0.716,     0.713,   210.905,     0.805,     0.632,     1.885,     0.266,     0.501,   144.180,   147.000
2010- 5- 9  0: 0: 0,     0.037,     2.775,     3.421,     2.724,   208.181,     0.794,     0.597,     1.538,     0.000,     0.000,   129.177,   151.000
2010- 5-10  0: 0: 0,     0.017,     3.239,     3.993,     3.146,   205.036,     0.782,     0.563,     1.244,     0.000,     0.000,   113.274,   135.000
2010- 5-11  0: 0: 0,     0.032,     3.346,     4.125,     3.190,   201.846,     0.770,     0.530,     1.009,     0.000,     0.000,    94.730,   128.000
2010- 5-12  0: 0: 0,     3.997,     1.549,     1.910,     1.587,   203.558,     0.777,     0.524,     0.974,     0.170,     0.247,    77.220,   128.000
2010- 5-13  0: 0: 0,     0.403,     1.303,     1.607,     1.134,   202.604,     0.773,     0.495,     0.853,     0.006,     0.007,    63.101,   127.000
2010- 5-14  0: 0: 0,     0.102,     2.510,     3.095,     2.298,   200.316,     0.764,     0.466,     0.764,     0.000,     0.000,    53.077,   122.000
2010- 5-15  0: 0: 0,     0.391,     1.809,     2.230,     1.575,   198.905,     0.759,     0.441,     0.700,     0.007,     0.006,    45.493,   113.000
2010- 5-16  0: 0: 0,    32.284,     1.463,     1.803,     1.803,   223.485,     0.853,     0.736,     2.758,     2.206,     3.695,    78.950,   110.000
2010- 5-17  0: 0: 0,     0.762,     1.279,     1.577,     1.130,   222.774,     0.850,     0.705,     2.657,     0.017,     0.036,   119.901,   117.000
2010- 5-18  0: 0: 0,     0.069,     2.300,     2.836,     2.360,   220.413,     0.841,     0.672,     2.406,     0.000,     0.000,   135.806,   125.000
2010- 5-19  0: 0: 0,     0.029,     2.682,     3.307,     2.749,   217.664,     0.830,     0.639,     2.085,     0.000,     0.000,   134.503,   131.000
