 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2013- 1-14  0: 0: 0,     0.012,     0.755,     0.931,     0.702,   197.248,     0.753,     0.218,     0.158,     0.000,     0.000,     6.969,    24.400
2013- 1-15  0: 0: 0,     0.000,     0.732,     0.902,     0.683,   196.565,     0.750,     0.213,     0.152,     0.000,     0.000,     6.383,    55.400
2013- 1-16  0: 0: 0,     0.000,     0.652,     0.803,     0.607,   195.958,     0.748,     0.208,     0.146,     0.000,     0.000,     5.856,    63.800
2013- 1-17  0: 0: 0,     0.000,     0.465,     0.573,     0.431,   195.527,     0.746,     0.203,     0.140,     0.000,     0.000,     5.377,    58.300
2013- 1-18  0: 0: 0,     0.001,     0.770,     0.949,     0.710,   194.817,     0.743,     0.199,     0.135,     0.000,     0.000,     4.938,    50.700
2013- 1-19  0: 0: 0,     0.816,     0.832,     1.026,     0.630,   194.672,     0.743,     0.197,     0.141,     0.015,     0.020,     4.536,    42.900
2013- 1-20  0: 0: 0,     1.926,     0.318,     0.392,     0.339,   195.910,     0.747,     0.210,     0.254,     0.117,     0.206,    10.173,    44.300
2013- 1-21  0: 0: 0,     1.125,     0.513,     0.632,     0.501,   196.327,     0.749,     0.212,     0.283,     0.046,     0.073,    19.237,    47.300
2013- 1-22  0: 0: 0,     0.024,     0.671,     0.827,     0.600,   195.727,     0.747,     0.207,     0.256,     0.000,     0.000,    21.308,    40.700
2013- 1-23  0: 0: 0,     0.117,     0.875,     1.079,     0.769,   195.013,     0.744,     0.202,     0.223,     0.001,     0.002,    19.806,    35.200
2013- 1-24  0: 0: 0,     0.027,     0.850,     1.048,     0.766,   194.253,     0.741,     0.197,     0.190,     0.000,     0.000,    17.046,    41.700
2013- 1-25  0: 0: 0,     0.022,     0.972,     1.198,     0.871,   193.381,     0.738,     0.192,     0.162,     0.000,     0.000,    14.055,    49.500
2013- 1-26  0: 0: 0,     0.009,     0.861,     1.061,     0.783,   192.602,     0.735,     0.187,     0.139,     0.000,     0.000,    11.358,    48.500
2013- 1-27  0: 0: 0,     0.001,     0.844,     1.040,     0.766,   191.836,     0.732,     0.183,     0.123,     0.000,     0.000,     9.187,    44.100
2013- 1-28  0: 0: 0,     0.020,     1.012,     1.248,     0.903,   190.933,     0.728,     0.178,     0.110,     0.000,     0.000,     7.553,    43.000
2013- 1-29  0: 0: 0,     0.012,     1.071,     1.320,     0.956,   189.976,     0.725,     0.174,     0.101,     0.000,     0.000,     6.357,    35.500
2013- 1-30  0: 0: 0,     4.751,     0.477,     0.588,     0.497,   193.364,     0.738,     0.215,     0.380,     0.307,     0.500,    22.095,    39.100
2013- 1-31  0: 0: 0,    12.641,     0.525,     0.647,     0.643,   203.024,     0.775,     0.334,     1.185,     0.868,     1.467,    65.245,    52.200
2013- 2- 1  0: 0: 0,     0.110,     0.834,     1.028,     0.769,   202.315,     0.772,     0.322,     1.077,     0.003,     0.006,    94.277,    71.500
2013- 2- 2  0: 0: 0,     0.786,     0.464,     0.572,     0.400,   202.483,     0.773,     0.313,     0.932,     0.026,     0.051,   102.032,    91.400
2013- 2- 3  0: 0: 0,     2.498,     0.385,     0.475,     0.445,   204.094,     0.779,     0.321,     0.885,     0.148,     0.267,    99.676,   105.000
2013- 2- 4  0: 0: 0,     5.567,     0.817,     1.007,     0.983,   207.564,     0.792,     0.355,     1.125,     0.331,     0.762,   111.446,   109.000
2013- 2- 5  0: 0: 0,     0.152,     0.418,     0.515,     0.375,   207.281,     0.791,     0.339,     0.921,     0.005,     0.016,   112.036,   104.000
2013- 2- 6  0: 0: 0,     0.295,     1.010,     1.245,     0.817,   206.553,     0.788,     0.323,     0.720,     0.002,     0.004,    99.780,   102.000
2013- 2- 7  0: 0: 0,     0.118,     0.411,     0.506,     0.339,   206.252,     0.787,     0.307,     0.544,     0.002,     0.006,    81.475,   114.000
2013- 2- 8  0: 0: 0,     0.217,     0.476,     0.587,     0.373,   205.968,     0.786,     0.291,     0.404,     0.002,     0.003,    64.468,   127.000
2013- 2- 9  0: 0: 0,     0.273,     0.888,     1.095,     0.719,   205.337,     0.783,     0.277,     0.302,     0.002,     0.006,    49.872,   117.000
2013- 2-10  0: 0: 0,     0.028,     0.973,     1.200,     0.919,   204.426,     0.780,     0.263,     0.230,     0.000,     0.000,    39.026,   101.000
2013- 2-11  0: 0: 0,     0.021,     0.865,     1.066,     0.822,   203.604,     0.777,     0.249,     0.181,     0.000,     0.000,    31.320,    92.300
2013- 2-12  0: 0: 0,     0.027,     1.075,     1.325,     1.004,   202.600,     0.773,     0.237,     0.150,     0.000,     0.000,    25.849,    89.100
2013- 2-13  0: 0: 0,     0.001,     1.160,     1.430,     1.106,   201.494,     0.769,     0.225,     0.129,     0.000,     0.000,    21.923,    87.700
2013- 2-14  0: 0: 0,     0.000,     0.799,     0.985,     0.758,   200.737,     0.766,     0.214,     0.115,     0.000,     0.000,    19.028,    85.900
2013- 2-15  0: 0: 0,     0.018,     1.086,     1.338,     1.013,   199.726,     0.762,     0.204,     0.106,     0.000,     0.000,    16.808,    78.600
2013- 2-16  0: 0: 0,     0.006,     1.353,     1.668,     1.270,   198.456,     0.757,     0.194,     0.099,     0.000,     0.000,    15.031,    70.400
2013- 2-17  0: 0: 0,     0.010,     1.154,     1.423,     1.063,   197.393,     0.753,     0.185,     0.094,     0.000,     0.000,    13.549,    63.400
2013- 2-18  0: 0: 0,     1.141,     0.514,     0.633,     0.449,   197.794,     0.755,     0.185,     0.167,     0.058,     0.136,    23.047,    57.000
2013- 2-19  0: 0: 0,     3.857,     0.637,     0.785,     0.680,   200.205,     0.764,     0.210,     0.418,     0.230,     0.473,    43.186,    53.400
2013- 2-20  0: 0: 0,     0.464,     0.745,     0.919,     0.647,   199.878,     0.763,     0.203,     0.395,     0.017,     0.048,    47.101,    52.600
2013- 2-21  0: 0: 0,     0.050,     0.754,     0.930,     0.683,   199.207,     0.760,     0.194,     0.335,     0.000,     0.001,    47.161,    61.800
2013- 2-22  0: 0: 0,     0.002,     1.391,     1.715,     1.301,   197.906,     0.755,     0.186,     0.270,     0.000,     0.000,    42.111,    73.200
2013- 2-23  0: 0: 0,     0.000,     1.435,     1.769,     1.340,   196.566,     0.750,     0.178,     0.213,     0.000,     0.000,    35.075,    77.900
2013- 2-24  0: 0: 0,     0.022,     1.282,     1.580,     1.166,   195.404,     0.746,     0.170,     0.167,     0.000,     0.000,    28.216,    72.000
2013- 2-25  0: 0: 0,     1.862,     0.944,     1.164,     0.842,   195.995,     0.748,     0.174,     0.220,     0.076,     0.151,    24.204,    57.100
2013- 2-26  0: 0: 0,     0.025,     0.800,     0.987,     0.690,   195.307,     0.745,     0.166,     0.195,     0.000,     0.000,    25.819,    42.400
2013- 2-27  0: 0: 0,     0.002,     0.656,     0.809,     0.579,   194.728,     0.743,     0.159,     0.169,     0.000,     0.000,    24.748,    36.200
2013- 2-28  0: 0: 0,     2.052,     0.962,     1.186,     0.897,   195.281,     0.745,     0.168,     0.359,     0.103,     0.378,    31.559,    34.500
2013- 3- 1  0: 0: 0,     0.114,     0.866,     1.068,     0.725,   194.588,     0.742,     0.161,     0.329,     0.001,     0.009,    41.210,    58.700
2013- 3- 2  0: 0: 0,     0.002,     1.229,     1.515,     1.127,   193.461,     0.738,     0.154,     0.279,     0.000,     0.000,    40.878,    98.000
2013- 3- 3  0: 0: 0,     0.000,     1.655,     2.040,     1.508,   191.953,     0.732,     0.148,     0.218,     0.000,     0.000,    34.236,    82.400
2013- 3- 4  0: 0: 0,     0.007,     1.828,     2.254,     1.653,   190.300,     0.726,     0.141,     0.164,     0.000,     0.000,    26.654,    48.500
2013- 3- 5  0: 0: 0,     0.049,     1.891,     2.331,     1.673,   188.634,     0.720,     0.136,     0.125,     0.000,     0.000,    20.358,    44.700
2013- 3- 6  0: 0: 0,     0.021,     1.838,     2.266,     1.641,   186.994,     0.713,     0.130,     0.098,     0.000,     0.000,    15.764,    60.400
2013- 3- 7  0: 0: 0,     0.041,     1.994,     2.458,     1.735,   185.260,     0.707,     0.125,     0.080,     0.000,     0.000,    12.593,    63.000
2013- 3- 8  0: 0: 0,     0.038,     2.117,     2.610,     1.835,   183.428,     0.700,     0.120,     0.069,     0.000,     0.000,    10.426,    49.100
2013- 3- 9  0: 0: 0,     0.009,     2.193,     2.704,     1.909,   181.519,     0.693,     0.116,     0.062,     0.000,     0.000,     8.913,    36.000
2013- 3-10  0: 0: 0,     0.003,     1.468,     1.810,     1.249,   180.270,     0.688,     0.112,     0.057,     0.000,     0.000,     7.808,    39.600
2013- 3-11  0: 0: 0,     0.010,     0.805,     0.992,     0.682,   179.589,     0.685,     0.108,     0.054,     0.000,     0.000,     6.955,    51.800
2013- 3-12  0: 0: 0,     3.310,     0.551,     0.679,     0.577,   181.782,     0.694,     0.132,     0.203,     0.195,     0.265,    11.939,    57.100
2013- 3-13  0: 0: 0,     0.034,     1.299,     1.601,     1.071,   180.713,     0.689,     0.127,     0.189,     0.000,     0.000,    15.296,    55.400
2013- 3-14  0: 0: 0,     0.165,     1.429,     1.761,     1.214,   179.578,     0.685,     0.123,     0.164,     0.003,     0.002,    14.955,    56.600
2013- 3-15  0: 0: 0,     1.670,     2.223,     2.741,     1.324,   178.891,     0.683,     0.120,     0.149,     0.016,     0.027,    13.664,    52.600
2013- 3-16  0: 0: 0,     7.362,     0.583,     0.719,     0.719,   184.349,     0.703,     0.186,     0.525,     0.481,     0.704,    32.793,    43.800
2013- 3-17  0: 0: 0,     7.231,     0.591,     0.728,     0.728,   189.536,     0.723,     0.246,     0.960,     0.471,     0.845,    77.179,    36.100
2013- 3-18  0: 0: 0,     0.158,     2.344,     2.890,     1.954,   187.582,     0.716,     0.235,     0.840,     0.000,     0.000,    98.051,    41.800
2013- 3-19  0: 0: 0,     0.188,     1.416,     1.746,     1.184,   186.482,     0.711,     0.223,     0.674,     0.003,     0.003,    91.396,    51.100
2013- 3-20  0: 0: 0,     0.046,     1.700,     2.095,     1.444,   185.038,     0.706,     0.212,     0.507,     0.000,     0.000,    75.853,    57.500
2013- 3-21  0: 0: 0,     0.838,     2.246,     2.769,     1.453,   183.708,     0.701,     0.200,     0.370,     0.001,     0.003,    60.225,    62.800
2013- 3-22  0: 0: 0,     0.064,     1.600,     1.972,     1.385,   182.343,     0.696,     0.190,     0.266,     0.001,     0.001,    46.259,    65.500
2013- 3-23  0: 0: 0,     0.170,     1.240,     1.528,     1.063,   181.395,     0.692,     0.180,     0.195,     0.004,     0.004,    35.667,    63.100
2013- 3-24  0: 0: 0,     0.025,     1.068,     1.316,     0.896,   180.499,     0.689,     0.170,     0.147,     0.000,     0.000,    28.057,    52.700
2013- 3-25  0: 0: 0,     6.610,     1.223,     1.508,     1.354,   184.780,     0.705,     0.215,     0.383,     0.378,     0.468,    23.412,    41.300
2013- 3-26  0: 0: 0,     0.043,     1.623,     2.001,     1.386,   183.394,     0.700,     0.206,     0.362,     0.000,     0.000,    27.468,    37.900
2013- 3-27  0: 0: 0,     0.063,     2.401,     2.960,     2.053,   181.363,     0.692,     0.196,     0.333,     0.001,     0.001,    31.731,    39.600
2013- 3-28  0: 0: 0,     0.002,     1.859,     2.291,     1.587,   179.776,     0.686,     0.187,     0.292,     0.000,     0.000,    33.662,    44.900
2013- 3-29  0: 0: 0,     0.005,     1.849,     2.280,     1.581,   178.195,     0.680,     0.178,     0.244,     0.000,     0.000,    32.289,    51.000
2013- 3-30  0: 0: 0,     0.003,     1.665,     2.053,     1.413,   176.783,     0.674,     0.169,     0.199,     0.000,     0.000,    28.769,    56.700
2013- 3-31  0: 0: 0,     0.011,     2.103,     2.593,     1.755,   175.027,     0.668,     0.160,     0.161,     0.000,     0.000,    24.558,    51.500
2013- 4- 1  0: 0: 0,     0.005,     2.345,     2.891,     1.945,   173.082,     0.660,     0.152,     0.131,     0.000,     0.000,    20.603,    28.700
2013- 4- 2  0: 0: 0,     0.009,     2.414,     2.976,     1.977,   171.105,     0.653,     0.145,     0.110,     0.000,     0.000,    17.309,    28.500
2013- 4- 3  0: 0: 0,     0.240,     1.454,     1.792,     1.050,   170.060,     0.649,     0.137,     0.095,     0.000,     0.000,    14.727,    38.700
2013- 4- 4  0: 0: 0,     0.159,     2.534,     3.124,     1.934,   168.126,     0.641,     0.130,     0.085,     0.000,     0.000,    12.749,    49.300
2013- 4- 5  0: 0: 0,     3.127,     0.784,     0.966,     0.711,   170.007,     0.649,     0.148,     0.175,     0.168,     0.170,    11.637,    56.100
2013- 4- 6  0: 0: 0,     0.031,     2.152,     2.653,     1.712,   168.295,     0.642,     0.142,     0.170,     0.000,     0.000,    12.461,    60.200
2013- 4- 7  0: 0: 0,     0.030,     2.517,     3.103,     1.999,   166.305,     0.634,     0.136,     0.163,     0.000,     0.000,    13.786,    52.600
2013- 4- 8  0: 0: 0,     0.006,     2.355,     2.903,     1.852,   164.453,     0.627,     0.130,     0.153,     0.000,     0.000,    14.413,    40.100
2013- 4- 9  0: 0: 0,     0.011,     1.644,     2.026,     1.265,   163.188,     0.623,     0.125,     0.138,     0.000,     0.000,    13.943,    32.400
