,City,Annual Radiation,Radiation,Province_en,City_en
333,楚雄彝族自治州,1720.7313376169386,1720.73,Yunnan,Chuxiong
334,大理白族自治州,1718.1141507286663,1718.11,Yunnan,Dali
335,德宏傣族景颇族自治州,1647.7195106600468,1647.72,Yunnan,Dehong
336,迪庆藏族自治州,1629.122384415064,1629.12,Yunnan,Diqing
337,红河哈尼族彝族自治州,1600.6050960652206,1600.61,Yunnan,Honghe
338,昆明市,1635.5325157588838,1635.53,Yunnan,Kunming
339,丽江市,1724.311790634527,1724.31,Yunnan,Lijiang
340,临沧市,1692.913951460041,1692.91,Yunnan,Lincang
341,怒江傈僳族自治州,1500.1266843899284,1500.13,Yunnan,Nujiang
342,普洱市,1697.6248650183202,1697.62,Yunnan,Pu'er
343,曲靖市,1520.765629516602,1520.77,Yunnan,Qujing
344,文山壮族苗族自治州,1475.628465402627,1475.63,Yunnan,Wenshan
345,西双版纳傣族自治州,1686.6932289912556,1686.69,Yunnan,Xishuangbanna
346,玉溪市,1669.3583568309298,1669.36,Yunnan,Yuxi
347,昭通市,1268.7000650203931,1268.7,Yunnan,Zhaotong
348,杭州市,1311.6702363527854,1311.67,Zhejiang,Hangzhou
349,湖州市,1327.6863928460846,1327.69,Zhejiang,Huzhou
350,嘉兴市,1354.4400683165431,1354.44,Zhejiang,Jiaxing
351,金华市,1324.2898839865293,1324.29,Zhejiang,Jinghua
352,丽水市,1321.3696490593911,1321.37,Zhejiang,Lishui
353,宁波市,1334.172013446515,1334.17,Zhejiang,Ningpo
354,衢州市,1304.6690011864375,1304.67,Zhejiang,Quzhou
355,绍兴市,1337.1676592578117,1337.17,Zhejiang,Shaoxing
356,台州市,1330.0298499056823,1330.03,Zhejiang,Taizhou(Zhe)
357,温州市,1333.0088606042395,1333.01,Zhejiang,Wenzhou
358,舟山市,1347.8159965006512,1347.82,Zhejiang,Zhoushan
359,重庆市,1110.1794161596736,1110.18,Chongqing,Chongqing
360,雄安新区,1339.794436060412,1339.79,Hebei,Xiong'an
361,辛集市,1397.8322839355462,1397.83,Hebei,Xinji
362,定州市,1346.291684112549,1346.29,Hebei,Dingzhou
